time,date,hour,minute,second,bid,ofr,bidsiz,ofrsiz,bid_offer_diff
2010-01-04 17:30:00,20100104.0,17.0,31.5,16.85,58.04599999999998,58.75,5.55,1.0,0.7040000000000003
2010-01-04 17:35:00,20100104.0,17.0,37.35294117647059,43.64705882352941,58.14000000000001,58.77470588235294,4.705882352941177,1.3529411764705883,0.6347058823529407
2010-01-04 17:40:00,20100104.0,17.0,42.78260869565217,39.34782608695652,58.10608695652173,58.76826086956522,2.4347826086956523,1.2608695652173914,0.6621739130434787
2010-01-04 17:45:00,20100104.0,17.0,47.0,36.0,58.07266666666668,58.75933333333333,2.8666666666666667,1.1333333333333333,0.6866666666666664
2010-01-04 17:50:00,20100104.0,17.0,51.857142857142854,40.42857142857143,58.059999999999995,58.75,2.7142857142857144,1.0,0.6899999999999997
2010-01-04 17:55:00,20100104.0,17.0,56.7,11.55,58.129,58.765,2.8,1.2,0.6359999999999996
2010-01-04 18:00:00,20100104.0,18.0,2.2,12.2,58.044,58.75,2.7,1.0,0.7060000000000002
2010-01-04 18:05:00,20100104.0,18.0,7.416666666666667,16.083333333333332,58.31583333333333,58.88833333333333,4.708333333333333,1.9166666666666667,0.5725000000000001
2010-01-04 18:10:00,20100104.0,18.0,11.857142857142858,8.678571428571429,58.05678571428569,59.10642857142854,3.107142857142857,3.2142857142857144,1.0496428571428584
2010-01-04 18:15:00,20100104.0,18.0,17.227272727272727,23.5,58.18750000000002,59.75068181818177,2.1136363636363638,3.5454545454545454,1.5631818181818184
2010-01-04 18:20:00,20100104.0,18.0,22.571428571428573,21.428571428571427,58.550000000000004,62.690000000000005,1.0,3.857142857142857,4.140000000000002
2010-01-04 18:25:00,20100104.0,18.0,26.923076923076923,11.384615384615385,58.55615384615383,62.656923076923064,1.6153846153846154,3.6153846153846154,4.10076923076923
2010-01-04 18:30:00,20100104.0,18.0,32.1,28.5,58.556999999999974,62.61499999999999,1.7,4.85,4.057999999999998
2010-01-04 18:35:00,20100104.0,18.0,37.61538461538461,11.153846153846153,58.55692307692306,62.58000000000001,1.6923076923076923,4.538461538461538,4.023076923076922
2010-01-04 18:40:00,20100104.0,18.0,42.0625,22.6875,58.55687499999998,62.548124999999985,1.6875,5.0,3.991249999999998
2010-01-04 18:45:00,20100104.0,18.0,45.94736842105263,37.94736842105263,58.559473684210495,62.52263157894736,1.631578947368421,4.684210526315789,3.9631578947368427
2010-01-04 18:50:00,20100104.0,18.0,52.0,19.0,58.556999999999974,62.48300000000002,1.7,4.25,3.9259999999999984
2010-01-04 18:55:00,20100104.0,18.0,57.0,35.6,58.519333333333314,62.23400000000001,1.6666666666666667,4.066666666666666,3.7146666666666657
2010-01-04 19:00:00,20100104.0,19.0,1.6875,33.5,58.55687499999998,62.421249999999986,1.6875,4.0625,3.864374999999998
2010-01-04 19:05:00,20100104.0,19.0,7.125,29.8125,58.55687499999998,62.37375,1.6875,4.625,3.8168749999999987
2010-01-04 19:10:00,20100104.0,19.0,11.9375,45.25,58.55687499999998,62.34312500000002,1.6875,5.0,3.7862499999999994
2010-01-04 19:15:00,20100104.0,19.0,16.923076923076923,26.153846153846153,58.55692307692306,62.30923076923076,1.6923076923076923,4.538461538461538,3.752307692307691
2010-01-04 19:20:00,20100104.0,19.0,21.9,40.9,58.556999999999974,62.277,1.7,4.85,3.719999999999999
2010-01-04 19:25:00,20100104.0,19.0,27.529411764705884,40.705882352941174,58.52294117647057,62.04764705882354,1.588235294117647,3.764705882352941,3.5247058823529405
2010-01-04 19:30:00,20100104.0,19.0,31.5625,22.75,58.486249999999984,61.818125000000016,1.625,4.0625,3.331874999999998
2010-01-04 19:35:00,20100104.0,19.0,37.0,27.428571428571427,58.543333333333315,62.18190476190477,2.4285714285714284,2.9523809523809526,3.638571428571427
2010-01-04 19:40:00,20100104.0,19.0,42.5,7.5,58.51666666666666,62.135,3.5,2.5,3.618333333333332
2010-01-04 19:45:00,20100104.0,19.0,46.9375,18.5,58.51687499999999,62.101250000000014,3.5625,2.9375,3.5843749999999983
2010-01-04 19:50:00,20100104.0,19.0,51.5,31.75,58.51666666666666,62.0575,3.6666666666666665,3.25,3.5408333333333313
2010-01-04 19:55:00,20100104.0,19.0,56.65217391304348,18.82608695652174,58.51739130434782,61.89434782608694,2.0,3.0869565217391304,3.3769565217391313
2010-01-04 20:00:00,20100104.0,20.0,0.0,0.6,58.501999999999995,62.446000000000005,1.8,2.6,3.944
